2020-02-24 10:47:20 [error] Failed to load the dynamic library C:\Users\Administrator\Desktop\iearth历代版本\V1\SuFileParserGDAL.fps, ThreadID: 6684, Timespan(ms): 16, ResourceID: IMd011, SourceCode: ..\..\..\Src\FileParser\UGFileParseManager.cpp(344)
2020-02-24 15:23:51 [error] Failed to open s3mb file, ThreadID: 12020, Timespan(ms): 31, ResourceID: -100, SourceCode: ..\..\..\Src\FileParserS3MB\UGFileParserS3MBTile.cpp(32)
2020-02-24 15:23:51 [error] Failed to open s3mb file, ThreadID: 12020, Timespan(ms): 0, ResourceID: -100, SourceCode: ..\..\..\Src\FileParserS3MB\UGFileParserS3MBTile.cpp(32)
2020-02-24 15:23:51 [error] Failed to open s3mb file, ThreadID: 12020, Timespan(ms): 16, ResourceID: -100, SourceCode: ..\..\..\Src\FileParserS3MB\UGFileParserS3MBTile.cpp(32)
2020-02-24 15:23:51 [error] Failed to open s3mb file, ThreadID: 12020, Timespan(ms): 0, ResourceID: -100, SourceCode: ..\..\..\Src\FileParserS3MB\UGFileParserS3MBTile.cpp(32)
2020-02-24 15:23:51 [error] Failed to open s3mb file, ThreadID: 12020, Timespan(ms): 47, ResourceID: -100, SourceCode: ..\..\..\Src\FileParserS3MB\UGFileParserS3MBTile.cpp(32)
2020-02-24 15:23:51 [error] Failed to open s3mb file, ThreadID: 12020, Timespan(ms): 0, ResourceID: -100, SourceCode: ..\..\..\Src\FileParserS3MB\UGFileParserS3MBTile.cpp(32)
2020-02-24 15:23:51 [error] Failed to open s3mb file, ThreadID: 12020, Timespan(ms): 15, ResourceID: -100, SourceCode: ..\..\..\Src\FileParserS3MB\UGFileParserS3MBTile.cpp(32)
2020-02-24 15:23:51 [error] Failed to open s3mb file, ThreadID: 12020, Timespan(ms): 0, ResourceID: -100, SourceCode: ..\..\..\Src\FileParserS3MB\UGFileParserS3MBTile.cpp(32)
2020-02-24 15:23:51 [error] Failed to open s3mb file, ThreadID: 12020, Timespan(ms): 16, ResourceID: -100, SourceCode: ..\..\..\Src\FileParserS3MB\UGFileParserS3MBTile.cpp(32)
2020-02-24 15:23:51 [error] Failed to open s3mb file, ThreadID: 12020, Timespan(ms): 0, ResourceID: -100, SourceCode: ..\..\..\Src\FileParserS3MB\UGFileParserS3MBTile.cpp(32)
2020-02-24 15:23:51 [error] Failed to open s3mb file, ThreadID: 12020, Timespan(ms): 15, ResourceID: -100, SourceCode: ..\..\..\Src\FileParserS3MB\UGFileParserS3MBTile.cpp(32)
2020-02-24 15:23:51 [error] Failed to open s3mb file, ThreadID: 12020, Timespan(ms): 0, ResourceID: -100, SourceCode: ..\..\..\Src\FileParserS3MB\UGFileParserS3MBTile.cpp(32)
2020-02-24 15:23:51 [error] Failed to open s3mb file, ThreadID: 12020, Timespan(ms): 16, ResourceID: -100, SourceCode: ..\..\..\Src\FileParserS3MB\UGFileParserS3MBTile.cpp(32)
2020-02-24 15:23:51 [error] Failed to open s3mb file, ThreadID: 12020, Timespan(ms): 0, ResourceID: -100, SourceCode: ..\..\..\Src\FileParserS3MB\UGFileParserS3MBTile.cpp(32)
2020-02-24 15:23:51 [error] No enough disk space for caches, ThreadID: 12020, Timespan(ms): 0, ResourceID: EAa001, SourceCode: ..\..\..\Src\Toolkit\UGCompress.cpp(144)
2020-02-24 15:23:51 [error] No enough disk space for caches, ThreadID: 12020, Timespan(ms): 16, ResourceID: EAa001, SourceCode: ..\..\..\Src\Toolkit\UGCompress.cpp(144)
2020-02-24 15:23:51 [error] No enough disk space for caches, ThreadID: 12020, Timespan(ms): 15, ResourceID: EAa001, SourceCode: ..\..\..\Src\Toolkit\UGCompress.cpp(144)
2020-02-24 15:23:52 [error] No enough disk space for caches, ThreadID: 12020, Timespan(ms): 16, ResourceID: EAa001, SourceCode: ..\..\..\Src\Toolkit\UGCompress.cpp(144)
2020-02-24 15:23:52 [error] Failed to open s3mb file, ThreadID: 12020, Timespan(ms): 16, ResourceID: -100, SourceCode: ..\..\..\Src\FileParserS3MB\UGFileParserS3MBTile.cpp(32)
2020-02-24 15:23:52 [error] Failed to open s3mb file, ThreadID: 12020, Timespan(ms): 0, ResourceID: -100, SourceCode: ..\..\..\Src\FileParserS3MB\UGFileParserS3MBTile.cpp(32)
2020-02-24 15:23:52 [error] No enough disk space for caches, ThreadID: 12020, Timespan(ms): 15, ResourceID: EAa001, SourceCode: ..\..\..\Src\Toolkit\UGCompress.cpp(144)
2020-02-24 15:23:52 [error] No enough disk space for caches, ThreadID: 12020, Timespan(ms): 0, ResourceID: EAa001, SourceCode: ..\..\..\Src\Toolkit\UGCompress.cpp(144)
2020-02-24 15:23:52 [error] No enough disk space for caches, ThreadID: 12020, Timespan(ms): 16, ResourceID: EAa001, SourceCode: ..\..\..\Src\Toolkit\UGCompress.cpp(144)
2020-02-24 15:23:52 [error] No enough disk space for caches, ThreadID: 12020, Timespan(ms): 15, ResourceID: EAa001, SourceCode: ..\..\..\Src\Toolkit\UGCompress.cpp(144)
2020-02-24 15:23:52 [error] Failed to open s3mb file, ThreadID: 12020, Timespan(ms): 16, ResourceID: -100, SourceCode: ..\..\..\Src\FileParserS3MB\UGFileParserS3MBTile.cpp(32)
2020-02-24 15:23:52 [error] Failed to open s3mb file, ThreadID: 12020, Timespan(ms): 0, ResourceID: -100, SourceCode: ..\..\..\Src\FileParserS3MB\UGFileParserS3MBTile.cpp(32)
2020-02-24 15:23:52 [error] No enough disk space for caches, ThreadID: 12020, Timespan(ms): 0, ResourceID: EAa001, SourceCode: ..\..\..\Src\Toolkit\UGCompress.cpp(144)
2020-02-24 15:23:52 [error] No enough disk space for caches, ThreadID: 12020, Timespan(ms): 0, ResourceID: EAa001, SourceCode: ..\..\..\Src\Toolkit\UGCompress.cpp(144)
2020-02-24 15:23:52 [error] No enough disk space for caches, ThreadID: 12020, Timespan(ms): 16, ResourceID: EAa001, SourceCode: ..\..\..\Src\Toolkit\UGCompress.cpp(144)
2020-02-24 15:23:52 [error] No enough disk space for caches, ThreadID: 12020, Timespan(ms): 31, ResourceID: EAa001, SourceCode: ..\..\..\Src\Toolkit\UGCompress.cpp(144)
2020-02-24 15:23:52 [error] Failed to open s3mb file, ThreadID: 12020, Timespan(ms): 16, ResourceID: -100, SourceCode: ..\..\..\Src\FileParserS3MB\UGFileParserS3MBTile.cpp(32)
2020-02-24 15:23:52 [error] Failed to open s3mb file, ThreadID: 12020, Timespan(ms): 0, ResourceID: -100, SourceCode: ..\..\..\Src\FileParserS3MB\UGFileParserS3MBTile.cpp(32)
2020-02-24 15:23:52 [error] Failed to open s3mb file, ThreadID: 12020, Timespan(ms): 15, ResourceID: -100, SourceCode: ..\..\..\Src\FileParserS3MB\UGFileParserS3MBTile.cpp(32)
2020-02-24 15:23:52 [error] Failed to open s3mb file, ThreadID: 12020, Timespan(ms): 0, ResourceID: -100, SourceCode: ..\..\..\Src\FileParserS3MB\UGFileParserS3MBTile.cpp(32)
2020-02-24 15:23:52 [error] Failed to open s3mb file, ThreadID: 12020, Timespan(ms): 16, ResourceID: -100, SourceCode: ..\..\..\Src\FileParserS3MB\UGFileParserS3MBTile.cpp(32)
2020-02-24 15:23:52 [error] Failed to open s3mb file, ThreadID: 12020, Timespan(ms): 0, ResourceID: -100, SourceCode: ..\..\..\Src\FileParserS3MB\UGFileParserS3MBTile.cpp(32)
2020-02-24 15:23:52 [error] No enough disk space for caches, ThreadID: 12020, Timespan(ms): 0, ResourceID: EAa001, SourceCode: ..\..\..\Src\Toolkit\UGCompress.cpp(144)
2020-02-24 15:23:52 [error] No enough disk space for caches, ThreadID: 12020, Timespan(ms): 15, ResourceID: EAa001, SourceCode: ..\..\..\Src\Toolkit\UGCompress.cpp(144)
2020-02-24 15:23:52 [error] No enough disk space for caches, ThreadID: 12020, Timespan(ms): 0, ResourceID: EAa001, SourceCode: ..\..\..\Src\Toolkit\UGCompress.cpp(144)
2020-02-24 15:23:52 [error] No enough disk space for caches, ThreadID: 12020, Timespan(ms): 16, ResourceID: EAa001, SourceCode: ..\..\..\Src\Toolkit\UGCompress.cpp(144)
2020-02-24 15:23:52 [error] Failed to open s3mb file, ThreadID: 12020, Timespan(ms): 16, ResourceID: -100, SourceCode: ..\..\..\Src\FileParserS3MB\UGFileParserS3MBTile.cpp(32)
2020-02-24 15:23:52 [error] Failed to open s3mb file, ThreadID: 12020, Timespan(ms): 0, ResourceID: -100, SourceCode: ..\..\..\Src\FileParserS3MB\UGFileParserS3MBTile.cpp(32)
2020-02-24 15:23:52 [error] Failed to open s3mb file, ThreadID: 12020, Timespan(ms): 15, ResourceID: -100, SourceCode: ..\..\..\Src\FileParserS3MB\UGFileParserS3MBTile.cpp(32)
2020-02-24 15:23:52 [error] Failed to open s3mb file, ThreadID: 12020, Timespan(ms): 0, ResourceID: -100, SourceCode: ..\..\..\Src\FileParserS3MB\UGFileParserS3MBTile.cpp(32)
2020-02-24 15:23:52 [error] Failed to open s3mb file, ThreadID: 12020, Timespan(ms): 16, ResourceID: -100, SourceCode: ..\..\..\Src\FileParserS3MB\UGFileParserS3MBTile.cpp(32)
2020-02-24 15:23:52 [error] Failed to open s3mb file, ThreadID: 12020, Timespan(ms): 0, ResourceID: -100, SourceCode: ..\..\..\Src\FileParserS3MB\UGFileParserS3MBTile.cpp(32)
2020-02-24 15:23:52 [error] Failed to open s3mb file, ThreadID: 12020, Timespan(ms): 16, ResourceID: -100, SourceCode: ..\..\..\Src\FileParserS3MB\UGFileParserS3MBTile.cpp(32)
2020-02-24 15:23:52 [error] Failed to open s3mb file, ThreadID: 12020, Timespan(ms): 0, ResourceID: -100, SourceCode: ..\..\..\Src\FileParserS3MB\UGFileParserS3MBTile.cpp(32)
2020-02-24 15:23:52 [error] No enough disk space for caches, ThreadID: 12020, Timespan(ms): 0, ResourceID: EAa001, SourceCode: ..\..\..\Src\Toolkit\UGCompress.cpp(144)
2020-02-24 15:23:52 [error] No enough disk space for caches, ThreadID: 12020, Timespan(ms): 0, ResourceID: EAa001, SourceCode: ..\..\..\Src\Toolkit\UGCompress.cpp(144)
2020-02-24 15:23:52 [error] No enough disk space for caches, ThreadID: 12020, Timespan(ms): 15, ResourceID: EAa001, SourceCode: ..\..\..\Src\Toolkit\UGCompress.cpp(144)
2020-02-24 15:23:52 [error] Failed to open s3mb file, ThreadID: 12020, Timespan(ms): 16, ResourceID: -100, SourceCode: ..\..\..\Src\FileParserS3MB\UGFileParserS3MBTile.cpp(32)
2020-02-24 15:23:52 [error] Failed to open s3mb file, ThreadID: 12020, Timespan(ms): 0, ResourceID: -100, SourceCode: ..\..\..\Src\FileParserS3MB\UGFileParserS3MBTile.cpp(32)
2020-02-24 15:23:52 [error] Failed to open s3mb file, ThreadID: 12020, Timespan(ms): 15, ResourceID: -100, SourceCode: ..\..\..\Src\FileParserS3MB\UGFileParserS3MBTile.cpp(32)
2020-02-24 15:23:52 [error] Failed to open s3mb file, ThreadID: 12020, Timespan(ms): 0, ResourceID: -100, SourceCode: ..\..\..\Src\FileParserS3MB\UGFileParserS3MBTile.cpp(32)
2020-02-24 15:23:52 [error] No enough disk space for caches, ThreadID: 12020, Timespan(ms): 0, ResourceID: EAa001, SourceCode: ..\..\..\Src\Toolkit\UGCompress.cpp(144)
2020-02-24 15:23:52 [error] No enough disk space for caches, ThreadID: 12020, Timespan(ms): 0, ResourceID: EAa001, SourceCode: ..\..\..\Src\Toolkit\UGCompress.cpp(144)
2020-02-24 15:23:52 [error] No enough disk space for caches, ThreadID: 12020, Timespan(ms): 16, ResourceID: EAa001, SourceCode: ..\..\..\Src\Toolkit\UGCompress.cpp(144)
2020-02-24 15:23:52 [error] No enough disk space for caches, ThreadID: 12020, Timespan(ms): 16, ResourceID: EAa001, SourceCode: ..\..\..\Src\Toolkit\UGCompress.cpp(144)
2020-02-24 15:23:52 [error] Failed to open s3mb file, ThreadID: 12020, Timespan(ms): 15, ResourceID: -100, SourceCode: ..\..\..\Src\FileParserS3MB\UGFileParserS3MBTile.cpp(32)
2020-02-24 15:23:52 [error] Failed to open s3mb file, ThreadID: 12020, Timespan(ms): 0, ResourceID: -100, SourceCode: ..\..\..\Src\FileParserS3MB\UGFileParserS3MBTile.cpp(32)
2020-02-24 15:23:52 [error] No enough disk space for caches, ThreadID: 12020, Timespan(ms): 0, ResourceID: EAa001, SourceCode: ..\..\..\Src\Toolkit\UGCompress.cpp(144)
2020-02-24 15:23:52 [error] No enough disk space for caches, ThreadID: 12020, Timespan(ms): 16, ResourceID: EAa001, SourceCode: ..\..\..\Src\Toolkit\UGCompress.cpp(144)
2020-02-24 15:23:52 [error] Failed to open s3mb file, ThreadID: 12020, Timespan(ms): 16, ResourceID: -100, SourceCode: ..\..\..\Src\FileParserS3MB\UGFileParserS3MBTile.cpp(32)
2020-02-24 15:23:52 [error] Failed to open s3mb file, ThreadID: 12020, Timespan(ms): 0, ResourceID: -100, SourceCode: ..\..\..\Src\FileParserS3MB\UGFileParserS3MBTile.cpp(32)
2020-02-24 15:23:52 [error] No enough disk space for caches, ThreadID: 12020, Timespan(ms): 15, ResourceID: EAa001, SourceCode: ..\..\..\Src\Toolkit\UGCompress.cpp(144)
2020-02-24 15:23:52 [error] No enough disk space for caches, ThreadID: 12020, Timespan(ms): 0, ResourceID: EAa001, SourceCode: ..\..\..\Src\Toolkit\UGCompress.cpp(144)
2020-02-24 15:23:52 [error] No enough disk space for caches, ThreadID: 12020, Timespan(ms): 16, ResourceID: EAa001, SourceCode: ..\..\..\Src\Toolkit\UGCompress.cpp(144)
2020-02-24 15:23:52 [error] No enough disk space for caches, ThreadID: 12020, Timespan(ms): 15, ResourceID: EAa001, SourceCode: ..\..\..\Src\Toolkit\UGCompress.cpp(144)
2020-02-24 15:23:52 [error] Failed to open s3mb file, ThreadID: 12020, Timespan(ms): 16, ResourceID: -100, SourceCode: ..\..\..\Src\FileParserS3MB\UGFileParserS3MBTile.cpp(32)
2020-02-24 15:23:52 [error] Failed to open s3mb file, ThreadID: 12020, Timespan(ms): 0, ResourceID: -100, SourceCode: ..\..\..\Src\FileParserS3MB\UGFileParserS3MBTile.cpp(32)
2020-02-24 15:23:52 [error] Failed to open s3mb file, ThreadID: 12020, Timespan(ms): 16, ResourceID: -100, SourceCode: ..\..\..\Src\FileParserS3MB\UGFileParserS3MBTile.cpp(32)
2020-02-24 15:23:52 [error] Failed to open s3mb file, ThreadID: 12020, Timespan(ms): 0, ResourceID: -100, SourceCode: ..\..\..\Src\FileParserS3MB\UGFileParserS3MBTile.cpp(32)
2020-02-24 15:23:52 [error] Failed to open s3mb file, ThreadID: 12020, Timespan(ms): 15, ResourceID: -100, SourceCode: ..\..\..\Src\FileParserS3MB\UGFileParserS3MBTile.cpp(32)
2020-02-24 15:23:52 [error] Failed to open s3mb file, ThreadID: 12020, Timespan(ms): 0, ResourceID: -100, SourceCode: ..\..\..\Src\FileParserS3MB\UGFileParserS3MBTile.cpp(32)
2020-02-24 15:23:52 [error] Failed to open s3mb file, ThreadID: 12020, Timespan(ms): 0, ResourceID: -100, SourceCode: ..\..\..\Src\FileParserS3MB\UGFileParserS3MBTile.cpp(32)
2020-02-24 15:23:52 [error] Failed to open s3mb file, ThreadID: 12020, Timespan(ms): 0, ResourceID: -100, SourceCode: ..\..\..\Src\FileParserS3MB\UGFileParserS3MBTile.cpp(32)
2020-02-24 15:23:52 [error] Failed to open s3mb file, ThreadID: 12020, Timespan(ms): 16, ResourceID: -100, SourceCode: ..\..\..\Src\FileParserS3MB\UGFileParserS3MBTile.cpp(32)
2020-02-24 15:23:52 [error] Failed to open s3mb file, ThreadID: 12020, Timespan(ms): 0, ResourceID: -100, SourceCode: ..\..\..\Src\FileParserS3MB\UGFileParserS3MBTile.cpp(32)
2020-02-24 15:23:52 [error] Failed to open s3mb file, ThreadID: 12020, Timespan(ms): 16, ResourceID: -100, SourceCode: ..\..\..\Src\FileParserS3MB\UGFileParserS3MBTile.cpp(32)
2020-02-24 15:23:52 [error] Failed to open s3mb file, ThreadID: 12020, Timespan(ms): 0, ResourceID: -100, SourceCode: ..\..\..\Src\FileParserS3MB\UGFileParserS3MBTile.cpp(32)
2020-02-24 15:23:52 [error] Failed to open s3mb file, ThreadID: 12020, Timespan(ms): 15, ResourceID: -100, SourceCode: ..\..\..\Src\FileParserS3MB\UGFileParserS3MBTile.cpp(32)
2020-02-24 15:23:52 [error] Failed to open s3mb file, ThreadID: 12020, Timespan(ms): 0, ResourceID: -100, SourceCode: ..\..\..\Src\FileParserS3MB\UGFileParserS3MBTile.cpp(32)
2020-02-24 15:23:52 [error] Failed to open s3mb file, ThreadID: 12020, Timespan(ms): 16, ResourceID: -100, SourceCode: ..\..\..\Src\FileParserS3MB\UGFileParserS3MBTile.cpp(32)
2020-02-24 15:23:52 [error] Failed to open s3mb file, ThreadID: 12020, Timespan(ms): 0, ResourceID: -100, SourceCode: ..\..\..\Src\FileParserS3MB\UGFileParserS3MBTile.cpp(32)
2020-02-24 15:23:52 [error] Failed to open s3mb file, ThreadID: 12020, Timespan(ms): 0, ResourceID: -100, SourceCode: ..\..\..\Src\FileParserS3MB\UGFileParserS3MBTile.cpp(32)
2020-02-24 15:23:52 [error] Failed to open s3mb file, ThreadID: 12020, Timespan(ms): 0, ResourceID: -100, SourceCode: ..\..\..\Src\FileParserS3MB\UGFileParserS3MBTile.cpp(32)
2020-02-24 15:23:53 [error] No enough disk space for caches, ThreadID: 20592, Timespan(ms): 953, ResourceID: EAa001, SourceCode: ..\..\..\Src\Toolkit\UGCompress.cpp(144)
2020-02-24 15:23:53 [error] No enough disk space for caches, ThreadID: 18824, Timespan(ms): 141, ResourceID: EAa001, SourceCode: ..\..\..\Src\Toolkit\UGCompress.cpp(144)
2020-02-24 15:23:53 [error] No enough disk space for caches, ThreadID: 20592, Timespan(ms): 218, ResourceID: EAa001, SourceCode: ..\..\..\Src\Toolkit\UGCompress.cpp(144)
2020-02-24 15:23:54 [error] No enough disk space for caches, ThreadID: 18824, Timespan(ms): 375, ResourceID: EAa001, SourceCode: ..\..\..\Src\Toolkit\UGCompress.cpp(144)
2020-02-24 15:23:54 [error] No enough disk space for caches, ThreadID: 21264, Timespan(ms): 219, ResourceID: EAa001, SourceCode: ..\..\..\Src\Toolkit\UGCompress.cpp(144)
2020-02-24 15:23:54 [error] No enough disk space for caches, ThreadID: 18824, Timespan(ms): 406, ResourceID: EAa001, SourceCode: ..\..\..\Src\Toolkit\UGCompress.cpp(144)
2020-02-24 15:23:54 [error] No enough disk space for caches, ThreadID: 2528, Timespan(ms): 63, ResourceID: EAa001, SourceCode: ..\..\..\Src\Toolkit\UGCompress.cpp(144)
2020-02-24 15:23:55 [error] No enough disk space for caches, ThreadID: 20592, Timespan(ms): 359, ResourceID: EAa001, SourceCode: ..\..\..\Src\Toolkit\UGCompress.cpp(144)
2020-02-24 15:23:55 [error] No enough disk space for caches, ThreadID: 21040, Timespan(ms): 110, ResourceID: EAa001, SourceCode: ..\..\..\Src\Toolkit\UGCompress.cpp(144)
2020-02-24 15:23:55 [error] No enough disk space for caches, ThreadID: 18824, Timespan(ms): 187, ResourceID: EAa001, SourceCode: ..\..\..\Src\Toolkit\UGCompress.cpp(144)
2020-02-24 15:23:55 [error] No enough disk space for caches, ThreadID: 18824, Timespan(ms): 250, ResourceID: EAa001, SourceCode: ..\..\..\Src\Toolkit\UGCompress.cpp(144)
2020-02-24 15:23:56 [error] No enough disk space for caches, ThreadID: 1216, Timespan(ms): 297, ResourceID: EAa001, SourceCode: ..\..\..\Src\Toolkit\UGCompress.cpp(144)
2020-02-24 15:23:56 [error] No enough disk space for caches, ThreadID: 21264, Timespan(ms): 203, ResourceID: EAa001, SourceCode: ..\..\..\Src\Toolkit\UGCompress.cpp(144)
2020-02-24 15:23:56 [error] No enough disk space for caches, ThreadID: 14204, Timespan(ms): 656, ResourceID: EAa001, SourceCode: ..\..\..\Src\Toolkit\UGCompress.cpp(144)
2020-02-24 15:23:57 [error] No enough disk space for caches, ThreadID: 2528, Timespan(ms): 266, ResourceID: EAa001, SourceCode: ..\..\..\Src\Toolkit\UGCompress.cpp(144)
2020-02-24 15:23:58 [error] No enough disk space for caches, ThreadID: 6228, Timespan(ms): 984, ResourceID: EAa001, SourceCode: ..\..\..\Src\Toolkit\UGCompress.cpp(144)
2020-02-24 15:23:58 [error] No enough disk space for caches, ThreadID: 21040, Timespan(ms): 63, ResourceID: EAa001, SourceCode: ..\..\..\Src\Toolkit\UGCompress.cpp(144)
2020-02-24 15:23:59 [error] No enough disk space for caches, ThreadID: 2528, Timespan(ms): 969, ResourceID: EAa001, SourceCode: ..\..\..\Src\Toolkit\UGCompress.cpp(144)
2020-02-24 15:23:59 [error] No enough disk space for caches, ThreadID: 1216, Timespan(ms): 328, ResourceID: EAa001, SourceCode: ..\..\..\Src\Toolkit\UGCompress.cpp(144)
2020-02-24 15:24:00 [error] No enough disk space for caches, ThreadID: 21264, Timespan(ms): 875, ResourceID: EAa001, SourceCode: ..\..\..\Src\Toolkit\UGCompress.cpp(144)
2020-02-24 15:24:00 [error] No enough disk space for caches, ThreadID: 2528, Timespan(ms): 500, ResourceID: EAa001, SourceCode: ..\..\..\Src\Toolkit\UGCompress.cpp(144)
2020-02-24 15:24:01 [error] No enough disk space for caches, ThreadID: 14204, Timespan(ms): 906, ResourceID: EAa001, SourceCode: ..\..\..\Src\Toolkit\UGCompress.cpp(144)
2020-02-24 15:24:02 [error] No enough disk space for caches, ThreadID: 2528, Timespan(ms): 391, ResourceID: EAa001, SourceCode: ..\..\..\Src\Toolkit\UGCompress.cpp(144)
2020-02-24 15:24:02 [error] No enough disk space for caches, ThreadID: 1216, Timespan(ms): 656, ResourceID: EAa001, SourceCode: ..\..\..\Src\Toolkit\UGCompress.cpp(144)
2020-02-24 15:24:04 [error] No enough disk space for caches, ThreadID: 6228, Timespan(ms): 1484, ResourceID: EAa001, SourceCode: ..\..\..\Src\Toolkit\UGCompress.cpp(144)
2020-02-24 15:24:05 [error] No enough disk space for caches, ThreadID: 1216, Timespan(ms): 1094, ResourceID: EAa001, SourceCode: ..\..\..\Src\Toolkit\UGCompress.cpp(144)
2020-02-24 15:24:07 [error] No enough disk space for caches, ThreadID: 1216, Timespan(ms): 2016, ResourceID: EAa001, SourceCode: ..\..\..\Src\Toolkit\UGCompress.cpp(144)
2020-02-24 15:24:12 [error] No enough disk space for caches, ThreadID: 6228, Timespan(ms): 5140, ResourceID: EAa001, SourceCode: ..\..\..\Src\Toolkit\UGCompress.cpp(144)
2020-02-24 15:24:15 [error] No enough disk space for caches, ThreadID: 6228, Timespan(ms): 3281, ResourceID: EAa001, SourceCode: ..\..\..\Src\Toolkit\UGCompress.cpp(144)
